LINKED_LAYER_NO,LINKED_SHRP_ID,SHRP_ID,STATE_CODE,LAYER_NO,FIELD_SET,TEST_NO,LOC_NO,SAMPLE_NO,CONSTRUCTION_NO,VISUAL_CLASS
1,1004,1004,25,1,1,1,BX02,BSX02,1,215
1,501,508,29,1,1,2,A3,BS03,1,100
2,501,502,29,2,1,1,BX01,BGX01,1,303
2,501,508,29,2,1,2,BAX17,BGX17,1,303
1,502,506,29,1,3,2,BAX04,BSX04,2,266
1,502,506,29,1,1,1,A2,BS02,1,100
2,502,502,29,2,1,1,BX01,BGX01,1,303
2,502,506,29,2,3,2,BAX01,BGX01,2,303
1,503,502,29,1,1,1,A1,BS01,1,100
1,504,502,29,1,1,1,BX02,BSX02,1,112
1,505,506,29,1,3,2,BAX04,BSX04,2,266
1,505,508,29,1,1,2,BAX18,BSX18,1,112
1,505,509,29,1,3,2,BAX05,BSX05,2,267
1,506,506,29,1,1,1,BAX16,BSX16,1,112
1,506,508,29,1,1,2,A3,BS03,1,100
1,506,509,29,1,3,2,BAX05,BSX05,2,267
1,508,506,29,1,3,2,BAX04,BSX04,2,266
1,508,506,29,1,3,1,BAX06,BSX06,2,267
1,508,508,29,1,1,2,A3,BS03,1,100
1,509,502,29,1,1,1,A1,BS01,1,100
2,706,709,29,2,1,1,TP3,BG57,1,303
2,1002,1002,29,2,1,1,BX01,BGX01,1,303
2,1010,1010,29,2,1,2,TP1,BG55,1,303
2,4069,4069,29,2,1,1,BX01,BGX01,1,306
1,7054,7054,29,1,1,2,BX03,BSX03,1,118
1,1001,1001,26,1,1,1,BX02,BSX02,1,202
2,1004,1004,26,2,1,1,BX01,BGX01,1,304
3,7072,7072,26,3,1,2,TP1,BG55,1,302
3,9030,9030,26,3,1,2,BX04,BGX04,1,303
3,A310,1013,26,3,1,1,BX02,BGX02,2,302
3,A310,1013,26,3,1,2,TP1,BG55,2,302
3,A321,1013,26,3,1,1,BX02,BGX02,2,302
3,A321,1013,26,3,1,2,TP1,BG55,2,302
2,C310,1001,26,2,1,2,TP1,BG56,1,302
2,C340,1001,26,2,1,2,TP1,BG56,1,302
2,503,507,27,2,1,2,TP3,BG58,1,306
2,503,507,27,2,3,2,BAX04,BGX04,6,307
3,504,507,27,3,1,1,TP3,BG57,1,306
1,507,507,27,1,3,2,BAX01,BSX01,6,114
1,507,507,27,1,1,3,TP3,BS56,1,
2,507,507,27,2,3,2,BAX04,BGX04,6,307
2,701,701,27,2,1,2,TP1,BG14,1,306
1,702,701,27,1,1,2,TP1,BS01,1,216
2,702,701,27,2,1,2,TP1,BG14,1,306
2,B330,1002,29,2,1,1,BX01,BGX01,1,303
1,B350,1002,29,1,1,1,BX02,BSX02,1,267
1,113,117,30,1,1,2,B3,BS03,1,214
1,113,117,30,1,1,2,B9,BS09,1,214
1,115,116,30,1,1,2,B2,BS02,1,214
1,115,119,30,1,1,2,B5,BS05,1,214
1,116,124,30,1,1,2,B10,BS10,1,214
1,117,113,30,1,1,2,B7,BS07,1,214
2,119,117,30,2,1,2,B14,BG14,1,304
1,121,113,30,1,1,2,B7,BS07,1,214
1,121,122,30,1,1,2,B12,BS12,1,204
1,122,113,30,1,1,2,B1,BS01,1,261
1,122,113,30,1,1,2,B7,BS07,1,214
1,122,122,30,1,1,2,B12,BS12,1,204
1,123,113,30,1,1,2,B7,BS07,1,214
1,502,508,30,1,1,1,TP1,BS93,1,266
2,502,506,30,2,1,1,BA*,BG*3,1,261
3,502,7066,30,3,1,2,TP1,BG91,1,261
1,503,502,30,1,1,2,BA*,BS*2,1,267
1,503,7066,30,1,1,1,BA*,BS**,1,119
2,503,504,30,2,3,2,BA268,BG268,3,304
3,503,508,30,3,1,1,TP1,BG91,1,255
1,504,502,30,1,1,2,BA*,BS*2,1,267
2,504,508,30,2,1,1,TP1,BG92,1,255
3,504,502,30,3,1,2,BA*,BG*2,1,261
3,504,506,30,3,1,1,BA*,BG*1,1,261
2,505,502,30,2,1,2,BA*,BG*4,1,261
2,505,506,30,2,3,2,BA262,BG262,3,302
2,505,7066,30,2,1,1,BA*,BG**,1,255
3,505,502,30,3,1,2,BA*,BG*2,1,261
3,505,506,30,3,1,1,BA*,BG*1,1,261
2,506,506,30,2,1,1,BA*,BG*3,1,261
2,507,502,30,2,1,2,BA*,BG*4,1,261
2,508,7066,30,2,1,1,BA*,BG**,1,255
3,508,7066,30,3,1,2,TP1,BG91,1,261
2,509,508,30,2,1,1,TP1,BG92,1,255
2,509,7066,30,2,1,1,BA*,BG**,1,255
3,509,502,30,3,1,2,BA*,BG*2,1,261
1,560,502,30,1,1,2,BA*,BS*2,1,267
2,560,508,30,2,1,1,TP1,BG92,1,255
3,560,506,30,3,1,1,BA*,BG*1,1,261
3,560,508,30,3,1,1,TP1,BG91,1,255
1,561,504,30,1,3,2,BA268,BS268,3,216
2,561,502,30,2,1,2,BA*,BG*4,1,261
3,561,502,30,3,1,2,BA*,BG*2,1,261
1,805,806,30,1,1,2,B3,BS03,1,254
2,805,805,30,2,1,1,B4,BG01,1,304
1,806,805,30,1,2,2,BA262,BS262,2,265
1,901,902,30,1,1,1,B01A02,BS01A02,1,255
1,902,903,30,1,1,1,B01A03,BS01A03,1,255
2,7088,7088,30,2,1,2,TP1,BG92,1,261
2,B410,3023,31,2,1,1,BX01,BGX01,1,302
1,B430,3023,31,1,1,2,TP1,BS55,1,202
1,101,105,32,1,1,2,B31,BS06,1,143
3,101,101,32,3,1,2,B1,BG01,1,261
3,102,101,32,3,1,2,B1,BG01,1,261
1,103,107,32,1,1,2,B29,BS04,1,216
3,103,110,32,3,2,3,BA263,BG283,1,308
1,104,101,32,1,1,2,B26,BS01,1,214
1,104,109,32,1,1,2,B28,BS03,1,214
3,105,105,32,3,1,2,B6,BG06,1,261
3,106,110,32,3,2,3,BA263,BG283,1,308
1,107,111,32,1,1,2,B30,BS05,1,216
3,108,104,32,3,2,3,BA261,BG281,2,308
4,109,102,32,4,1,2,B9,BG23,1,304
1,110,107,32,1,1,2,B29,BS04,1,216
3,110,107,32,3,1,2,B4,BG04,1,255
3,110,111,32,3,1,2,B5,BG05,1,261
3,111,106,32,3,1,2,B2,BG02,1,261
1,112,106,32,1,1,2,B27,BS02,1,114
3,112,106,32,3,2,3,BA262,BG282,1,308
3,112,106,32,3,1,2,B2,BG02,1,261
3,201,210,32,3,1,2,B6,BG06,1,255
3,201,211,32,3,1,2,B3,BG03,1,255
1,205,205,32,1,1,1,B29,BS01,1,213
3,205,205,32,3,1,1,B1,BG01,1,255
3,1021,1021,32,3,1,1,BA*,BG**,1,308
1,1030,1030,32,1,1,1,BA*,BS**,1,267
1,3013,3013,32,1,1,2,BA6,BS09,1,255
2,7084,7084,32,2,1,2,BA*,BG**,1,308
3,7084,7084,32,3,1,2,BA*,BG**,1,308
3,A310,1021,32,3,1,1,BA*,BG**,1,308
2,A410,3010,32,2,1,2,BA*,BG**,1,302
2,A451,3010,32,2,1,2,BA*,BG**,1,302
2,A452,3010,32,2,1,2,BA*,BG**,1,302
1,A453,3010,32,1,1,1,BA*,BS**,1,265
1,A455,3010,32,1,1,1,BA*,BS**,1,265
1,A457,3010,32,1,1,1,BA*,BS**,1,265
2,A457,3010,32,2,1,2,BA*,BG**,1,302
2,A461,3010,32,2,1,1,BA*,BG**,1,302
1,A462,3010,32,1,1,2,BA*,BS**,1,265
1,A462,3010,32,1,1,1,BA*,BS**,1,265
1,A463,3010,32,1,1,1,BA*,BS**,1,265
2,C330,2027,32,2,1,1,BA*,BG**,1,265
2,1001,1001,33,2,1,2,TP1,BG55,1,308
1,501,560,34,1,1,2,BA1,BS03,1,215
2,501,508,34,2,3,1,BAX12,BGX12,2,306
1,502,560,34,1,1,2,BA1,BS03,1,215
1,503,502,34,1,1,2,BA4,BS01,1,214
1,503,560,34,1,1,2,BA1,BS03,1,215
2,503,505,34,2,1,2,TP1,BG55,1,303
3,503,502,34,2,3,1,BAX08,BGX08,4,306
1,504,502,34,1,1,2,BA4,BS01,1,214
1,505,502,34,1,1,2,BA4,BS01,1,214
1,505,503,34,1,1,2,TP2,BS56,1,214
1,505,505,34,1,1,2,TP1,BS55,1,215
2,505,508,34,2,3,1,BAX12,BGX12,2,306
3,505,508,34,3,3,1,BAX07,BGX07,2,306
2,507,503,34,2,1,2,TP2,BG56,1,303
1,508,502,34,1,1,2,BA4,BS01,1,214
3,508,560,34,2,1,2,BA1,BG04,1,308
4,508,502,34,3,3,1,BAX05,BGX05,4,308
3,559,507,34,3,3,1,BAX01,BGX01,2,308
2,801,860,34,2,1,1,B4,BG02,1,303
1,859,802,34,1,1,3,B2,BS02,1,204
2,859,860,34,2,1,1,B4,BG02,1,303
2,860,860,34,2,1,1,B4,BG02,1,303
1,901,903,34,1,1,2,A02A03,BS02A03,1,214
2,901,961,34,3,1,1,A01A61,BG01A61,1,308
3,901,901,34,3,1,2,A02A01,BG02A01,1,308
3,901,902,34,3,1,2,A02A02,BG02A02,1,308
3,901,962,34,2,1,1,A01A62,BG03A62,1,308
1,902,901,34,1,1,1,A01A01,BS01A01,1,214
2,902,901,34,2,1,2,A02A01,BG04A01,1,308
2,902,961,34,3,1,2,A02A61,BG02A61,1,308
2,902,962,34,2,1,1,A01A62,BG03A62,1,308
3,903,961,34,2,1,2,A02A61,BG04A61,1,308
3,903,961,34,3,1,1,A01A61,BG01A61,1,308
1,960,902,34,1,1,2,A02A02,BS02A02,1,214
1,960,902,34,1,1,1,A01A02,BS01A02,1,214
2,960,1011,34,2,1,1,BX02,BGX02,1,308
1,961,903,34,1,1,1,A01A03,BS01A03,1,214
2,961,901,34,2,1,1,A01A01,BG03A01,1,308
2,961,902,34,2,1,1,A01A02,BG03A02,1,308
2,961,903,34,3,1,2,A02A03,BG02A03,1,308
2,961,962,34,3,1,1,A01A62,BG01A62,1,308
2,961,1011,34,2,1,1,BX02,BGX02,1,308
3,961,962,34,2,1,2,A02A62,BG04A62,1,308
3,961,1011,34,3,1,1,BX01,BGX01,1,308
3,961,1011,34,3,1,2,TP1,BG55,1,308
2,962,903,34,2,1,1,A01A03,BG03A03,1,308
2,962,961,34,2,1,2,A02A61,BG04A61,1,308
2,962,962,34,2,1,1,A01A62,BG03A62,1,308
2,1003,1003,34,2,1,1,BX02,BGX02,1,308
3,1030,1030,34,3,1,2,TP1,BG55,1,304
2,1031,1031,34,2,1,2,TP1,BG55,1,304
1,1034,1034,34,1,1,2,TP1,BS55,1,204
1,501,504,35,1,4,1,BAX01,BSX01,3,216
1,503,506,35,1,4,1,BA502,BS302,3,216
2,503,506,35,2,4,1,BA502,BG302,3,307
1,504,504,35,1,4,1,BAX01,BSX01,3,216
1,507,504,35,1,4,1,BAX01,BSX01,3,216
2,802,802,35,2,4,1,BA304,BG305,1,308
1,2118,2118,35,1,1,1,BA*,BS**,1,214
3,6035,6035,35,3,1,2,TP1,BG55,1,308
1,801,859,36,1,1,3,B3,BS03,1,214
1,801,859,36,1,1,2,B3,BS03,1,210
2,801,802,36,2,1,2,B5,BG02,1,303
1,859,801,36,1,1,2,B1,BS**,1,214
1,859,801,36,1,1,3,A3,TS05,1,214
2,859,801,36,2,1,2,B4,BG01,1,303
2,859,802,36,2,4,2,BAX03,BGX03,1,303
1,1011,1011,36,1,1,2,TP1,BS55,1,265
1,1644,1644,36,1,1,2,TP1,BS55,1,203
2,1644,1644,36,2,1,1,BX01,BGX01,1,308
2,A310,1643,36,2,1,1,BX01,BGX01,1,308
2,A321,1643,36,2,1,2,TP1,BG55,1,304
2,A340,1643,36,2,1,1,BX01,BGX01,1,308
2,A340,1643,36,2,1,2,TP1,BG55,1,304
1,A350,1643,36,1,1,1,BX02,BSX02,1,215
1,B340,1644,36,1,1,2,TP1,BS55,1,203
2,B350,1644,36,2,1,2,TP1,BG55,1,308
1,B351,1644,36,1,1,1,BX02,BSX02,1,211
2,B351,1644,36,2,1,2,TP1,BG55,1,308
2,B354,1644,36,2,1,2,TP1,BG55,1,308
1,859,802,37,1,1,2,B2,BS02,1,204
2,1024,1024,37,2,1,1,BX01,BGX01,1,304
1,1645,1645,37,1,1,2,TP1,BS55,1,306
1,1992,1992,37,1,1,2,BX03,BSX03,1,215
2,5037,5037,37,2,1,2,BX03,BGX03,1,308
2,1076,1076,48,2,1,2,TP1,BG55,1,304
1,1094,1094,48,1,1,2,TP1,BS55,1,267
1,1111,1111,48,1,1,1,BA*,BS**,1,216
2,1168,1168,48,2,1,2,TP1,BG55,1,308
1,3559,3559,48,1,1,1,BA*,BS**,1,214
2,3589,3589,48,2,1,1,BA*,BG**,1,309
1,3629,3629,48,1,1,2,BA*,BS**,2,214
1,3739,3739,48,1,1,1,BA*,BS**,1,202
1,3749,3749,48,1,1,1,BA*,BS**,1,216
1,4142,4142,48,1,1,1,BA*,BS**,1,206
2,4142,4142,48,2,1,1,BA*,BG**,1,309
2,6160,6160,48,2,1,2,TP1,BG56,1,309
2,6179,6179,48,2,1,2,TP1,BG56,1,309
1,A310,1094,48,1,1,1,BA*,BS**,1,217
2,A310,1094,48,2,1,2,TP1,BG55,1,303
2,A320,1094,48,2,1,2,TP1,BG55,1,303
1,A807,A807,48,1,1,3,A2,TS03,1,216
2,A807,A807,48,2,2,2,B4,BG01,1,303
2,C410,3589,48,2,1,2,BA*,BG**,1,309
2,D330,2172,48,2,1,1,BA*,BG**,1,309
2,D350,2172,48,2,1,1,BA*,BG**,1,309
1,E410,4142,48,1,1,2,BA*,BS**,1,216
1,E410,4142,48,1,1,1,BA*,BS**,1,206
2,E420,4142,48,2,1,2,BA*,BG**,1,309
2,E420,4142,48,2,1,1,BA*,BG**,1,309
1,E430,4142,48,1,1,1,BA*,BS**,1,206
2,E430,4142,48,2,1,2,BA*,BG**,1,309
2,G330,1169,48,2,1,1,BA*,BG**,1,309
1,I330,3559,48,1,1,2,BA*,BS**,1,214
1,J320,1122,48,1,1,1,BA*,BS**,1,204
2,J330,1122,48,2,1,2,TP1,BG56,1,309
2,J340,1122,48,2,1,2,TP1,BG56,1,309
1,4161,4161,40,1,1,1,BA*,BS**,2,214
2,1024,1024,45,2,1,1,BA*,BG**,1,308
2,1025,1025,45,2,1,2,TP1,BG55,1,261
1,3010,3010,46,1,1,1,BA1,BS01,1,114
1,601,602,47,1,1,3,TP1,BS55,2,204
1,601,602,47,1,1,1,A1,TS01,2,214
2,B330,3075,47,2,1,1,BA*,BG**,1,308
2,1,1,48,2,1,2,TP1,BG55,1,265
1,113,162,48,1,1,2,B2,BS02,1,204
2,113,114,48,2,6,1,BAX01,BGX01,2,308
3,113,117,48,3,1,2,B17,BG17,1,303
1,114,117,48,1,1,2,B8,BS08,1,204
1,114,119,48,1,1,2,B3,BS03,1,204
1,114,167,48,1,1,2,B5,BS05,1,204
3,114,120,48,3,6,1,BAX06,BGX06,3,304
1,115,119,48,1,1,2,B3,BS03,1,204
1,115,123,48,1,1,2,B9,BS09,1,204
2,115,120,48,2,6,1,BAX03,BGX03,3,308
1,116,113,48,1,1,2,B7,BS07,1,204
1,116,121,48,1,1,2,B4,BS04,1,204
1,116,164,48,1,1,2,B6,BS06,1,204
1,117,113,48,1,1,2,B7,BS07,1,204
2,117,114,48,2,6,1,BAX01,BGX01,2,308
2,118,114,48,2,6,1,BAX01,BGX01,2,308
3,118,114,48,3,6,1,BAX04,BGX04,2,303
3,118,121,48,3,6,1,BAX05,BGX05,2,308
3,119,119,48,3,1,2,B14,BG14,1,303
1,120,113,48,1,1,2,B7,BS07,1,204
1,120,167,48,1,1,2,B5,BS05,1,204
2,120,121,48,2,6,1,BAX02,BGX02,2,308
3,120,114,48,3,6,1,BAX04,BGX04,2,303
1,122,113,48,1,1,2,B7,BS07,1,204
1,122,117,48,1,1,2,B8,BS08,1,204
1,122,162,48,1,1,2,B2,BS02,1,204
2,122,120,48,2,6,1,BAX03,BGX03,3,308
1,124,162,48,1,1,2,B2,BS02,1,204
2,124,114,48,2,6,1,BAX01,BGX01,2,308
3,160,161,48,3,1,2,B12,BG12,1,350
1,161,162,48,1,1,2,B2,BS02,1,204
1,161,167,48,1,1,2,B5,BS05,1,204
2,161,114,48,2,6,1,BAX01,BGX01,2,308
2,161,120,48,2,6,1,BAX03,BGX03,3,308
1,164,116,48,1,1,2,B10,BS10,1,204
1,164,117,48,1,1,2,B8,BS08,1,204
1,164,162,48,1,1,2,B2,BS02,1,204
2,164,121,48,2,6,1,BAX02,BGX02,2,308
3,165,164,48,3,1,2,B16,BG16,1,350
1,167,123,48,1,1,2,B9,BS09,1,204
2,167,114,48,2,6,1,BAX01,BGX01,2,308
1,2001,2001,38,1,1,1,BX02,BSX02,1,216
1,222,223,55,1,1,1,B4,BS04,1,205
3,223,215,55,3,1,2,B21,BG08,1,302
1,224,213,55,1,2,2,BA313,BS363,1,214
1,224,214,55,1,1,1,B3,BS03,1,205
1,224,218,55,1,2,2,BAX22,BSX22,1,214
1,224,264,55,1,1,2,B8,BS08,1,205
2,259,259,55,2,1,1,B24,BG11,1,302
3,259,213,55,3,2,2,BAX02,BGX02,1,308
2,260,259,55,2,1,1,B12,BS12,1,205
2,5005,5005,41,2,1,1,BA*,BG**,1,308
2,5021,5021,41,2,1,1,BA*,BG**,1,302
1,7025,7025,41,1,1,2,BA*,BS**,1,267
1,1608,1608,42,1,1,1,BX02,BSX02,1,217
2,1608,1608,42,2,1,2,TP1,BG55,1,304
1,1610,1610,42,1,1,2,BX03,BSX03,1,254
1,1623,1623,42,1,1,2,BX04,BSX04,1,217
1,1691,1691,42,1,1,1,BX04,BSX04,1,265
2,1691,1691,42,2,1,1,BX01,BGX01,1,302
1,7025,7025,42,1,1,2,BA5,BS05,1,215
1,A310,1605,42,1,1,1,BX02,BSX02,1,267
1,A320,1605,42,1,1,2,TP1,BS55,1,267
2,A320,1605,42,2,1,2,TP1,BG55,1,304
2,A340,1605,42,2,1,1,BX01,BGX01,1,304
2,A340,1605,42,2,1,2,TP1,BG55,1,304
1,A350,1605,42,1,1,2,TP1,BS55,1,267
1,7401,7401,44,1,1,1,BX01,BSX01,1,253
1,1011,1011,45,1,1,1,BA*,BS**,1,214
1,5010,5010,39,1,1,2,BX01,BSX01,2,137
1,A410,4018,39,1,1,1,BX01,BSX01,1,265
1,113,113,40,1,1,3,A9,TS17,1,145
1,113,122,40,1,1,2,B4,BS04,1,216
1,114,122,40,1,1,2,B4,BS04,1,216
1,115,118,40,1,1,3,A2,TS03,1,102
1,115,124,40,1,1,3,A18,TS36,1,102
1,116,119,40,1,1,3,A10,TS19,1,145
1,116,121,40,1,1,3,A15,TS29,1,102
1,116,122,40,1,1,2,B4,BS04,1,216
1,116,124,40,1,1,3,A18,TS36,1,102
1,117,119,40,1,1,3,A10,TS19,1,145
1,117,121,40,1,1,3,A14,TS27,1,216
1,117,122,40,1,1,2,B4,BS04,1,216
3,117,117,40,3,2,2,B8,BG02,1,303
1,118,119,40,1,1,3,A10,TS19,1,145
3,118,120,40,3,2,2,B9,BG03,1,303
1,119,118,40,1,1,3,A2,TS03,1,102
1,120,119,40,1,1,3,A12,TS23,1,113
1,120,121,40,1,1,3,A14,TS27,1,216
1,120,123,40,1,1,2,B6,BS06,1,216
3,120,117,40,3,2,2,B8,BG02,1,303
1,121,121,40,1,1,3,A13,TS25,1,113
1,121,124,40,1,1,3,A18,TS36,1,102
1,121,124,40,1,1,3,A16,TS31,1,102
1,122,119,40,1,1,3,A12,TS23,1,113
1,123,113,40,1,1,3,A7,TS13,1,113
1,123,120,40,1,1,2,B5,BS05,1,216
1,123,122,40,1,1,2,B4,BS04,1,216
1,123,124,40,1,1,3,A16,TS31,1,102
1,124,118,40,1,1,3,A2,TS03,1,102
1,124,120,40,1,1,2,B5,BS05,1,216
1,124,123,40,1,1,2,B6,BS06,1,216
1,160,113,40,1,1,3,A9,TS17,1,145
1,160,118,40,1,1,3,A2,TS03,1,102
1,160,121,40,1,1,3,A14,TS27,1,216
1,504,504,40,1,1,1,BA4,BS04,1,217
1,507,504,40,1,1,1,BA4,BS04,1,217
1,508,502,40,1,1,1,BA1,BS01,1,216
1,1076,1076,48,1,1,1,BA*,BS**,1,214
2,803,804,49,2,1,2,B5,BS05,1,217
3,804,804,49,3,1,1,B8,BG08,1,304
3,1005,1005,49,3,1,2,TP1,BG91,1,261
2,1007,1007,49,2,1,2,TP1,BG91,1,265
2,3010,3010,49,2,1,2,BA*,BG**,1,267
1,3011,3011,49,1,1,2,BA*,BS**,1,267
2,3015,3015,49,2,1,2,BA*,BG**,1,255
1,7082,7082,49,1,1,1,BA1,BS01,1,267
2,7082,7082,49,2,1,2,BA4,BG06,1,308
3,7083,7083,49,3,1,1,BA*,BG**,1,304
2,A320,1004,49,2,1,1,BA*,BG**,1,265
1,A330,1004,49,1,1,2,TP1,BS92,1,215
2,A330,1004,49,2,1,1,BA*,BG**,1,265
2,A332,1004,49,2,1,2,TP1,BG91,1,265
1,A351,1004,49,1,1,1,BA*,BS**,1,215
2,A352,1004,49,2,1,2,TP1,BG91,1,265
1,A390,1004,49,1,1,1,BA*,BS**,1,215
1,B330,1017,49,1,1,2,TP1,BS93,2,267
3,B331,1017,49,3,1,2,TP1,BG91,2,257
3,B331,1017,49,3,1,1,BA*,BG**,2,263
1,B352,1017,49,1,1,1,BA*,BS**,2,267
2,C330,1006,49,2,1,1,BA*,BG**,1,267
1,C331,1006,49,1,1,2,TP1,BS92,1,265
1,C351,1006,49,1,1,1,BA*,BS**,1,267
2,C430,7082,49,2,1,1,BA1,BG02,1,308
3,C430,7082,49,3,1,1,BA1,BG01,1,304
1,C441,7082,49,1,1,2,BA4,BS03,1,267
3,C443,7082,49,3,1,2,BA4,BG05,1,304
1,C444,7082,49,1,1,2,BA4,BS03,1,267
3,C444,7082,49,3,1,2,BA4,BG05,1,304
3,C444,7082,49,3,1,1,BA1,BG01,1,304
3,C445,7082,49,3,1,1,BA1,BG01,1,304
3,C446,7082,49,3,1,2,BA4,BG05,1,304
1,C447,7082,49,1,1,1,BA1,BS01,1,267
1,C450,7082,49,1,1,2,BA4,BS03,1,267
1,C453,7082,49,1,1,2,BA4,BS03,1,267
2,C454,7082,49,2,1,2,BA4,BG06,1,308
2,C456,7082,49,2,1,1,BA1,BG02,1,308
2,C457,7082,49,2,1,1,BA1,BG02,1,308
1,C458,7082,49,1,1,1,BA1,BS01,1,267
3,C458,7082,49,3,1,2,BA4,BG05,1,304
5,D430,7086,49,5,1,2,TP1,BG92,1,308
5,D431,7086,49,5,1,2,TP1,BG92,1,308
5,D445,7086,49,5,1,2,TP1,BG92,1,308
6,D448,7086,49,6,1,2,TP1,BG91,1,308
1,D451,7086,49,1,1,2,TP1,BS91,1,267
5,D454,7086,49,5,1,2,TP1,BG92,1,308
6,D461,7086,49,6,1,2,TP1,BG91,1,308
6,D462,7086,49,6,1,2,TP1,BG91,1,308
3,E410,7085,49,3,1,1,TP1,BG91,1,304
2,E430,7085,49,2,1,1,TP1,BG92,1,308
3,E431,7085,49,3,1,1,TP1,BG91,1,304
1,E443,7085,49,1,1,1,TP1,BS91,1,265
3,E450,7085,49,3,1,1,TP1,BG91,1,304
2,E456,7085,49,2,1,1,TP1,BG92,1,308
3,1681,1681,50,3,1,2,TP1,BG55,1,308
1,1417,1417,51,1,1,2,TP1,BS55,1,264
2,802,801,53,2,1,2,B2,BG12,1,303
4,802,801,53,4,1,2,B5,BG02,1,303
1,1005,1005,53,1,1,2,TP1,BS93,2,254
3,1006,1006,53,3,1,2,TP1,BG91,1,308
2,1008,1008,53,2,1,1,BA*,BG**,1,304
2,1501,1501,53,2,1,2,TP1,BG93,1,304
2,1801,1801,53,2,1,1,BA*,BG**,1,304
3,3812,3812,53,3,1,1,BA*,BG**,1,308
4,3813,3813,53,4,1,2,BA*,BG**,1,308
2,6020,6020,53,2,1,2,TP1,BG92,1,308
3,6049,6049,53,3,1,1,BA*,BG**,1,308
2,A320,1008,53,2,1,1,BA*,BG**,1,304
1,A350,1008,53,1,1,1,BA*,BS**,1,257
2,B310,1501,53,2,1,1,BA*,BG**,1,304
4,B310,1501,53,4,1,2,TP1,BG91,1,304
4,B310,1501,53,4,1,1,BA*,BG**,1,304
1,B330,1501,53,1,1,1,BA*,BS**,1,265
2,C310,1801,53,2,1,2,TP1,BG91,1,304
1,C350,1801,53,1,1,2,TP1,BS92,1,215
2,4003,4003,54,2,1,2,BX02,BGX02,1,304
2,114,116,55,2,1,2,B8,BG01,1,304
3,114,113,55,3,1,1,B16,BG09,1,302
1,115,113,55,1,1,2,B2,BS02,1,205
2,116,122,55,2,2,2,BAX08,BGX08,1,308
3,116,122,55,3,2,2,BAX02,BGX02,1,308
1,117,120,55,1,1,2,B4,BS04,1,205
1,117,123,55,1,1,2,B6,BS06,1,205
2,117,122,55,2,1,2,B9,BG02,1,304
3,117,122,55,3,2,1,BAX01,BGX01,1,308
1,118,122,55,1,2,2,BAX14,BSX14,1,214
2,118,122,55,2,1,2,B9,BG02,1,304
2,118,122,55,2,2,1,BAX07,BGX07,1,308
3,118,120,55,3,1,1,B17,BG10,1,302
3,118,122,55,3,2,1,BAX01,BGX01,1,308
4,118,113,55,3,2,1,BAX05,BGX05,1,308
4,118,114,55,3,1,1,B18,BG11,1,302
1,119,118,55,1,1,2,B3,BS03,1,255
1,119,122,55,1,2,2,BA305,BS305,1,214
4,119,114,55,3,1,1,B18,BG11,1,302
1,120,119,55,1,1,2,B5,BS05,1,205
2,120,122,55,2,2,1,BAX07,BGX07,1,308
2,120,122,55,2,2,2,BAX09,BGX09,1,309
4,120,113,55,3,2,1,BAX05,BGX05,1,308
3,122,120,55,3,1,1,B17,BG10,1,302
1,123,117,55,1,1,2,B7,BS07,1,205
1,123,122,55,1,2,1,BAX13,BSX13,1,216
1,124,119,55,1,1,2,B5,BS05,1,205
1,124,122,55,1,2,2,BA305,BS305,1,214
1,213,215,55,1,1,2,B1,BS01,1,205
1,213,216,55,1,1,1,B5,BS05,1,205
1,213,218,55,1,2,2,BAX22,BSX22,1,214
2,213,259,55,2,1,1,B12,BS12,1,205
1,214,213,55,1,2,2,BA313,BS363,1,214
1,214,216,55,1,2,2,BAX17,BSX17,1,214
1,214,259,55,1,1,1,B7,BS07,1,205
4,214,265,55,3,1,2,B25,BG12,1,302
1,215,213,55,1,2,2,BAX18,BSX18,1,215
3,215,216,55,3,2,2,BAX01,BGX01,1,308
3,216,213,55,3,2,2,BAX02,BGX02,1,308
2,217,261,55,2,2,1,BAX09,BSX09,1,205
2,218,214,55,2,1,1,B16,BG03,1,302
2,218,215,55,2,1,1,B14,BG01,1,302
2,218,218,55,2,2,2,BAX13,BGX13,1,308
2,218,223,55,2,1,1,B17,BG04,1,302
1,219,216,55,1,2,2,BAX17,BSX17,1,214
2,219,259,55,2,1,1,B24,BG11,1,302
1,220,213,55,1,2,2,BAX18,BSX18,1,215
1,220,214,55,1,1,1,B3,BS03,1,205
1,220,218,55,1,1,1,B2,BS02,1,205
2,220,213,55,2,2,2,BAX08,BSX08,1,211
2,220,261,55,2,2,1,BAX09,BSX09,1,205
1,221,221,55,1,2,2,BAX16,BSX16,1,214
1,221,221,55,1,2,1,BAX26,BSX26,1,215
2,221,221,55,2,2,2,BAX06,BSX06,1,204
3,221,213,55,3,2,2,BAX02,BGX02,1,308
3,221,265,55,3,1,2,B25,BG12,1,302
2,504,506,1,2,4,2,BA303,BG306,2,306
3,504,503,1,3,4,1,BA307,BG317,2,308
3,504,504,1,3,4,2,BA304,BG309,2,308
1,505,502,1,1,1,1,TP1,BS55,1,214
1,505,506,1,1,1,1,BA3,BS03,1,214
1,505,4155,1,1,1,1,BA*,BS**,1,216
2,505,506,1,2,4,2,BA302,BG304,2,306
1,506,506,1,1,1,1,BA3,BS03,1,214
